,Word,Tag
6,London,geo
12,Iraq,geo
18,British,gpe
42,Bush,per
65,Hyde,geo
66,Park,geo
94,Britain,geo
97,Labor,org
98,Party,org
102,English,gpe
106,Brighton,geo
113,Britain,gpe
118,Iraq,geo
126,British,gpe
133,London,geo
146,Rome,geo
148,Paris,geo
151,Madrid,geo
154,International,org
155,Atomic,org
156,Energy,org
157,Agency,org
166,Vienna,geo
167,Wednesday,tim
173,Iran,gpe
181,Iran,gpe
192,Isfahan,geo
196,Iranian,gpe
211,Wednesday,tim
215,IAEA,org
234,European,org
235,Union,org
238,U.S.,gpe
245,Iran,gpe
248,U.N.,org
249,Security,org
250,Council,org
259,Tehran,gpe
263,Nuclear,art
264,Non-Proliferation,art
267,Iran,gpe
270,President,per
271,Mahmoud,per
272,Ahmadinejad,per
274,Tuesday,tim
276,European,gpe
281,Iran,gpe
293,Iranian,gpe
297,Germans,gpe
300,Nigerian,gpe
315,Nigeria,geo
319,Delta,geo
326,German,gpe
328,Bilfinger,org
329,Berger,org
331,Thomas,per
332,Horbach,per
341,Wednesday,tim
346,Delta,geo
347,State,geo
349,Bayelsa,geo
350,State,geo
359,Royal-Dutch,org
360,Shell,org
363,German,gpe
370,Shell,org
380,Niger,geo
381,Delta,geo
417,Nigeria,gpe
440,Somalia,geo
443,President,per
444,Abdullahi,per
445,Yusuf,per
446,Ahmad,per
461,Mogadishu,geo
492,Mogadishu,geo
493,Wednesday,tim
515,Somali,gpe
524,Iraqi,gpe
537,Mosul,geo
543,al,org
544,Qaida,org
545,in,org
546,Iraq,org
560,Sunni,geo
561,Arab,geo
563,Kurdish,geo
581,U.S.,gpe
587,American,gpe
597,al,org
598,Qaida,org
599,in,org
600,Iraq,org
609,Anbar,geo
612,Baghdad,geo
618,Mosul,geo
625,Baghdad,geo
633,Sunni,org
641,U.S.,gpe
645,American,gpe
653,Baghdad,geo
654,Sunday,tim
656,Egyptian,gpe
667,Muslim,org
668,Brotherhood,org
679,Saturday,tim
684,Friday,tim
686,Alexandria,geo
692,Brotherhood,org
702,Brotherhood,org
718,Muslim,org
719,Brotherhood,org
740,Saturday,tim
765,Muslim,org
766,Brotherhood,org
793,Pakistan,geo
795,North,geo
796,West,geo
797,Frontier,geo
798,Province,geo
834,Mutahida,org
835,Majlis-e-Amal,org
848,Thursday,tim
907,Friday,tim
936,Taleban,org
939,Afghanistan,geo
941,British,gpe
963,Islam,org
965,Prophet,per
966,Muhammad,per
968,Bedfordshire,gpe
971,Tuesday,tim
973,Omar,per
974,Khayam,per
978,Bedford,geo
990,British,org
991,Home,org
992,Office,org
997,Khayam,per
1023,Home,org
1024,Office,org
1028,Associated,org
1029,Press,org
1052,AP,org
1055,Khayam,per
1075,Pakistani,gpe
1097,Afghanistan,geo
1105,Malik,per
1106,Faridullah,per
1107,Khan,per
1111,South,geo
1112,Waziristan,geo
1113,Sunday,tim
1121,Kani,geo
1122,Wam,geo
1153,Pakistani,gpe
1164,South,geo
1165,Waziristan,geo
1174,al-Qaida,org
1176,Taleban,org
1180,Taleban,org
1185,Afghanistan,geo
1187,2001,tim
1191,Pakistani,gpe
1195,Pakistan,gpe
1224,United,gpe
1225,States,gpe
1230,Pakistan,gpe
1240,Abdul,per
1241,Qadeer,per
1242,Khan,per
1259,Iran,gpe
1261,Libya,gpe
1263,North,gpe
1264,Korea,gpe
1281,Pakistani,gpe
1295,Washington,geo
1297,Khan,per
1300,2004,tim
1324,Islamabad,geo
1336,Pakistan,geo
1341,U.S.,gpe
1342,Army,org
1345,Wednesday,tim
1358,Halliburton,org
1365,U.S.,gpe
1368,Iraq,geo
1372,Halliburton,org
1396,Halliburton,org
1452,Asia,org
1453,Pacific,org
1454,Economic,org
1455,Cooperation,org
1456,Business,org
1457,Advisory,org
1458,Council,org
1470,APEC,org
1478,September,tim
1479,8,tim
1481,9,tim
1483,VOA,org
1485,Nancy-Amelia,per
1486,Collins,per
1489,Sydney,geo
1499,World,org
1500,Trade,org
1501,Organization,org
1523,APEC,org
1524,Business,org
1525,Advisory,org
1526,Council,org
1530,ABAC,org
1532,Tim,per
1533,Harcourt,per
1540,Australian,org
1541,Trade,org
1542,Commission,org
1545,ABAC,org
1589,Harcourt,per
1596,ABAC,org
1624,ABAC,org
1643,APEC,org
1659,1995,tim
1667,APEC,org
1683,ABAC,org
1712,Harcourt,per
1716,Australian,org
1717,Trade,org
1718,Commission,org
1722,ABAC,org
1760,Harcourt,per
1801,ABAC,org
1820,APEC,org
1831,APEC,org
1835,Saturday,tim
1837,Sudan,gpe
1850,Darfur,geo
1861,Foreign,per
1862,Minister,per
1863,Mustafa,per
1864,Osman,per
1865,Ismail,per
1867,Sudanese,gpe
1877,April,tim
1891,Mr.,per
1892,Ismail,per
1902,United,org
1903,Nations,org
1905,African,org
1906,Union,org
1908,Khartoum,geo
1909,Sunday,tim
1915,AU,org
1918,Sudanese,gpe
1926,April,tim
1929,Saturday,tim
1934,AU,org
1937,Darfur,geo
1939,Sudanese,gpe
1948,South,geo
1949,Darfur,geo
1952,Labado,geo
1954,Khartoum,gpe
1975,South,geo
1976,Darfur,geo
1982,Indonesian,gpe
1992,October,tim
1993,1,tim
1994,Bali,geo
2002,Indonesian,gpe
2005,Wednesday,tim
2011,Bali,geo
2014,Java,geo
2019,Bali,geo
2023,Australian,gpe
2025,French,gpe
2037,Cholily,per
2050,Indonesia,geo
2062,Azahari,per
2063,bin,per
2064,Husin,per
2066,Indonesian,gpe
2069,Azahari,per
2070,bin,per
2071,Husin,per
2079,Bali,geo
2084,2002,tim
2085,Bali,geo
2100,Roman,org
2101,Catholic,org
2114,Mogadishu,geo
2116,Somalia,geo
2122,Sunday,tim
2135,Pope,per
2136,Benedict,per
2146,Sister,per
2147,Leonella,per
2148,Sgorbati,per
2163,Mogadishu,geo
2173,Rome,geo
2176,Vatican,org
2208,Mogadishu,geo
2234,Byzantine,per
2242,Prophet,per
2243,Muhammed,per
2250,Pakistani,gpe
2277,Saturday,tim
2283,Orakzai,geo
2289,Taliban,org
2304,South,geo
2305,Waziristan,geo
2308,Pakistani,gpe
2314,Orakzai,geo
2317,Taliban,org
2334,Thursday,tim
2337,Friday,tim
2352,Orakzai,geo
2374,Saturday,tim
2388,Kurram,geo
2392,Afghan,gpe
2405,U.S.,org
2408,Afghanistan,geo
2414,Taleban,org
2425,Saturday,tim
